0_60_time,year,manufacturer,model
6.5,2007,ACURA,ACURA TL
5.5,2008,ACURA,ACURA TL TYPE-S
5.4,2009,ACURA,ACURA TL
6.1,2009,ACURA,ACURA TL SH-AWD
5.2,2010,ACURA,ACURA TL SH-AWD (MANUAL)
5.2,2012,ACURA,ACURA TL SH-AWD (MANUAL)
6.2,2012,ACURA,ACURA TL SH-AWD
7.0,2015,ACURA,ACURA TLX TECHNOLOGY
5.8,2015,ACURA,ACURA TLX V6 ADVANCE SH-AWD
5.7,2015,ACURA,ACURA TLX V6 ADVANCE
5.8,2018,ACURA,ACURA TLX V6 A-SPEC SH-AWD
7.0,2021,ACURA,ACURA TLX A-SPEC SH-AWD
5.9,2021,ACURA,ACURA TLX ADVANCE SH-AWD
7.3,2004,ACURA,ACURA TSX (MANUAL)
7.7,2004,ACURA,KING MOTORSPORTS UNLIMITED ACURA TSX
7.4,2005,ACURA,ACURA TSX
7.1,2006,ACURA,ACURA TSX (MANUAL)
7.8,2007,ACURA,ACURA TSX
6.8,2009,ACURA,ACURA TSX TECHNOLOGY
6.0,2010,ACURA,ACURA TSX V6 TECHNOLOGY
8.1,2011,ACURA,ACURA TSX TECHNOLOGY SPORT WAGON
6.0,2012,ACURA,ACURA TSX V6 TECHNOLOGY
7.0,2012,ACURA,ACURA TSX SE
8.5,1992,ACURA,ACURA VIGOR GS
8.6,1992,ACURA,ACURA VIGOR LS
7.7,1992,ACURA,ACURA VIGOR LS (MANUAL)
6.4,2010,ACURA,ACURA ZDX SH-AWD ADVANCE
6.4,2012,ACURA,ACURA ZDX SH-AWD TECHNOLOGY
