0_60_time,year,manufacturer,model
8.2,2001,DODGE,DODGE DURANGO R/T 4X4
7.4,2004,DODGE,DODGE DURANGO LIMITED 5.7L
8.9,2009,DODGE,DODGE DURANGO HYBRID
8.3,2011,DODGE,DODGE DURANGO CREW AWD
7.3,2011,DODGE,DODGE DURANGO R/T AWD
8.3,2011,DODGE,DODGE DURANGO CITADEL AWD
7.4,2011,DODGE,DODGE DURANGO R/T
8.6,2011,DODGE,DODGE DURANGO V6
7.7,2014,DODGE,DODGE DURANGO V6 AWD
6.4,2014,DODGE,DODGE DURANGO R/T
6.2,2016,DODGE,DODGE DURANGO R/T AWD
7.6,2017,DODGE,DODGE DURANGO GT
7.4,2017,DODGE,DODGE DURANGO GT AWD
4.5,2018,DODGE,DODGE DURANGO SRT
6.4,2018,DODGE,DODGE DURANGO R/T AWD
6.5,2019,DODGE,DODGE DURANGO POLICE CAR
4.1,2021,DODGE,DODGE DURANGO SRT 392
3.6,2021,DODGE,DODGE DURANGO SRT HELLCAT
10.1,1994,DODGE,DODGE GRAND CARAVAN LE
10.9,1996,DODGE,DODGE GRAND CARAVAN ES
11.5,1998,DODGE,DODGE GRAND CARAVAN SE SPORT
10.0,2001,DODGE,DODGE GRAND CARAVAN ES
10.3,2001,DODGE,DODGE GRAND CARAVAN ES AWD
7.8,2008,DODGE,DODGE GRAND CARAVAN SXT
7.6,2010,DODGE,DODGE GRAND CARAVAN SXT
7.9,2012,DODGE,DODGE GRAND CARAVAN R/T
7.8,2017,DODGE,DODGE GRAND CARAVAN GT
8.7,1993,DODGE,DODGE INTREPID ES
10.2,1994,DODGE,DODGE INTREPID
8.8,1998,DODGE,DODGE INTREPID ES
7.8,2000,DODGE,DODGE INTREPID R/T
8.4,2000,DODGE,DODGE INTREPID ES
8.2,2009,DODGE,DODGE JOURNEY R/T AWD
9.6,2009,DODGE,DODGE JOURNEY SE
8.3,2009,DODGE,DODGE JOURNEY R/T
11.2,2010,DODGE,DODGE JOURNEY R/T CRD
9.5,2011,DODGE,DODGE JOURNEY EXPRESS
7.2,2012,DODGE,DODGE JOURNEY CREW
7.1,2013,DODGE,DODGE JOURNEY R/T AWD
7.8,2016,DODGE,DODGE JOURNEY CROSSROAD PLUS AWD
7.9,2017,DODGE,DODGE JOURNEY GT AWD
5.8,2005,DODGE,DODGE MAGNUM R/T AWD
5.0,2006,DODGE,DODGE MAGNUM SRT8
5.3,2007,DODGE,DODGE MAGNUM SRT-8
5.3,2008,DODGE,DODGE MAGNUM SRT
10.2,1990,DODGE,DODGE MONACO ES
7.9,1995,DODGE,DODGE NEON SPORT COUPE
9.0,1996,DODGE,DODGE NEON HIGHLINE
8.4,1997,DODGE,DODGE NEON COUPE
7.4,1998,DODGE,DODGE NEON R/T
8.1,2000,DODGE,DODGE NEON ES
7.5,2002,DODGE,DODGE NEON R/T
5.5,2003,DODGE,DODGE NEON SRT-4
5.2,2004,DODGE,DODGE NEON SRT-4
6.8,2007,DODGE,DODGE NITRO R/T
9.7,2007,DODGE,DODGE NITRO SXT
9.3,1983,DODGE,DODGE OMNI GLH
8.0,1986,DODGE,DODGE OMNI GLH TURBO
9.3,1994,DODGE,DODGE RAM 1500 LARAMIE SLT REGULAR CAB
9.4,1996,DODGE,DODGE RAM 1500 SPORT QUAD CAB
8.5,1996,DODGE,DODGE RAM 1500 SPORT REGULAR CAB
7.2,1996,DODGE,PAXTON SUPERCHARGED DODGE RAM 1500 CLUB CAB
